iter	RMSE
0	3896.41655
1	3761.490105
2	3629.793448
3	3506.034373
4	3387.920009
5	3273.087991
6	3163.53182
7	3055.979822
8	2955.206088
9	2856.907916
10	2762.474598
11	2672.693441
12	2588.702995
13	2508.272022
14	2429.803779
15	2354.680144
16	2284.192399
17	2214.700855
18	2148.718324
19	2085.757094
20	2025.792562
21	1968.909153
22	1914.658885
23	1861.948355
24	1812.018634
25	1763.779352
26	1717.596367
27	1673.630813
28	1632.05552
29	1592.919684
30	1554.111693
31	1516.854328
32	1481.816871
33	1447.530386
34	1414.142979
35	1382.723218
36	1353.173242
37	1324.138216
38	1296.979265
39	1270.403572
40	1245.165937
41	1221.36765
42	1198.447616
43	1175.650408
44	1154.9032
45	1135.605643
46	1115.960913
47	1097.761117
48	1079.995447
49	1062.751999
50	1045.75971
51	1031.103878
52	1016.123347
53	1001.003821
54	987.00857
55	974.2457129
56	962.3914127
57	951.0342542
58	939.4958593
59	927.8045111
60	917.0413339
61	907.2333034
62	897.2823635
63	888.8158703
64	879.7795176
65	870.5935494
66	862.6849161
67	854.658154
68	847.6876797
69	840.9275197
70	833.6955995
71	827.0886508
72	821.0722619
73	814.3533325
74	808.1045456
75	802.0506845
76	796.7260783
77	791.4926197
78	786.1912089
79	781.4763239
80	776.2279207
81	771.683461
82	767.3214148
83	762.7167131
84	758.8336143
85	755.0074169
86	751.4753359
87	747.4299485
88	743.3269098
89	740.1961903
90	737.3266788
91	734.3662912
92	731.0793044
93	728.3310547
94	725.8370115
95	722.696186
96	720.2226651
97	718.0650915
98	715.9015296
99	713.3567877
100	711.263899
101	709.333711
102	706.8808875
103	705.0833032
104	702.9424043
105	700.5062348
106	698.6930073
107	697.0026208
108	694.1875001
109	692.6872287
110	690.5466928
111	689.1986418
112	687.9588897
113	686.2817873
114	684.7919144
115	682.6070762
116	681.0071023
117	679.7723719
118	678.5449546
119	676.5660577
120	675.2750639
121	673.9300386
122	672.2021553
123	671.0993048
124	670.2025685
125	669.3238142
126	667.9782646
127	666.8876331
128	665.6331512
129	664.7359012
130	663.2848404
131	662.3255351
132	660.7826086
133	659.449988
134	658.4328565
135	657.6528142
136	656.6585349
137	655.441045
138	654.5813795
139	653.7871911
140	652.8945464
141	652.1482947
142	650.9446297
143	649.5973437
144	648.4685533
145	647.8401415
146	646.8364257
147	646.052399
148	645.0457939
149	643.9490804
150	643.3711577
151	642.8090611
152	641.9242561
153	641.0015007
154	640.2567452
155	639.3732173
156	638.7639319
157	638.2664319
158	637.8101131
159	636.9474759
160	636.4253406
161	635.6318998
162	635.2301863
163	634.4094575
164	633.7948563
165	633.3685658
166	632.450495
167	631.578629
168	630.756586
169	630.2898156
170	629.7431696
171	629.1437077
172	628.6017702
173	628.104642
174	627.6782509
175	627.3461227
176	626.7989937
177	626.374542
178	625.5741458
179	625.1188818
180	624.6637224
181	624.1991508
182	623.763834
183	623.0910071
184	622.7230196
185	622.4571942
186	621.8038291
187	621.3293571
188	620.9786892
189	620.6834354
190	620.4106719
191	619.9483923
192	619.6177346
193	619.2578212
194	618.9839452
195	618.5051946
196	617.6778816
197	617.4591449
198	617.222143
199	616.7549986
200	616.0598591
201	615.8061115
202	615.4971755
203	615.2146398
204	614.923927
205	614.688327
206	614.3093856
207	614.0413132
208	613.5982107
209	613.4077144
210	613.1227603
211	612.8345263
212	612.5107778
213	612.2630133
214	612.0994555
215	611.8104139
216	611.1604662
217	610.8175499
218	610.4040379
219	609.9995957
220	609.4002566
221	609.0003512
222	608.675332
223	608.1054863
224	607.9199676
225	607.5612047
226	607.3010779
227	607.1237151
228	606.6170236
229	606.4689538
230	606.2476725
231	606.0934
232	605.9325093
233	605.7196827
234	605.5619892
235	605.4471706
236	605.0799648
237	604.8294273
238	604.6754744
239	604.4615468
240	604.3197547
241	604.2097865
242	603.8295222
243	603.6449242
244	603.2056361
245	603.11666
246	602.8898913
247	602.721308
248	602.5558293
249	602.2507356
250	602.0223827
251	601.8060578
252	601.6377546
253	601.2498362
254	601.0525369
255	600.9484557
256	600.6844295
257	600.2403742
258	600.1558609
259	599.7647896
260	599.3050258
261	599.1975816
262	599.078139
263	598.9104218
264	598.6090012
265	598.2662965
266	598.0093864
267	597.8855994
268	597.7191144
269	597.4318444
270	597.0659999
271	596.9492977
272	596.683892
273	596.5317686
274	596.3502545
275	596.2326002
276	596.0734731
277	595.9003824
278	595.7902069
279	595.691812
280	595.6039662
281	595.2949476
282	595.17514
283	595.0814266
284	594.8043618
285	594.7104556
286	594.5952888
287	594.4824933
288	594.4299952
289	594.217689
290	594.1575653
291	593.8472257
292	593.6653444
293	593.5997982
294	593.4117411
295	593.3218494
296	593.233307
297	593.0504193
298	592.9878453
299	592.9150697
300	592.8189594
301	592.7673475
302	592.652607
303	592.539813
304	592.4772501
305	592.3906752
306	592.2673943
307	592.1121358
308	592.007875
309	591.9112198
310	591.8093816
311	591.6023687
312	591.5129038
313	591.3904129
314	591.2799803
315	591.2082093
316	591.1268435
317	591.0544604
318	590.9365541
319	590.8430486
320	590.7800457
321	590.7064123
322	590.4902193
323	590.2657565
324	590.2034711
325	590.136662
326	590.0747399
327	589.9687647
328	589.7417029
329	589.6615196
330	589.5393598
331	589.4618868
332	589.3767721
333	589.31466
334	589.159566
335	589.1082407
336	588.936107
337	588.8725832
338	588.8146904
339	588.741447
340	588.5814652
341	588.471391
342	588.3927108
343	588.3262519
344	588.1758302
345	588.1339832
346	588.0650966
347	587.9908602
348	587.9302095
349	587.8622557
350	587.7969992
351	587.720923
352	587.6652147
353	587.6269375
354	587.5872188
355	587.5344216
356	587.4433293
357	587.3750001
358	587.3111505
359	587.2621215
360	587.1994338
361	587.1276459
362	587.0345605
363	586.9722187
364	586.8665204
365	586.8047707
366	586.7462291
367	586.6904185
368	586.6302319
369	586.5959176
370	586.5620542
371	586.5119644
372	586.479381
373	586.4346829
374	586.2974239
375	586.2194623
376	586.1497186
377	586.0975954
378	586.0488494
379	585.9816727
380	585.93798
381	585.9064171
382	585.6802499
383	585.6398899
384	585.5141549
385	585.4459568
386	585.3672277
387	585.3046642
388	585.2424714
389	585.1915558
390	585.1615657
391	585.1176159
392	585.0754051
393	584.8990009
394	584.8242883
395	584.7463372
396	584.6779291
397	584.6184801
398	584.5719618
399	584.5161188
