iter	Passed	Remaining
0	16	6488
1	27	5508
2	40	5359
3	53	5318
4	67	5337
5	81	5320
6	93	5236
7	105	5149
8	118	5136
9	132	5148
10	145	5157
11	158	5126
12	169	5053
13	182	5041
14	196	5053
15	211	5069
16	224	5066
17	236	5021
18	250	5030
19	264	5019
20	277	5015
21	292	5022
22	305	5014
23	317	4970
24	329	4948
25	343	4943
26	357	4936
27	371	4934
28	385	4933
29	396	4893
30	412	4906
31	425	4893
32	438	4880
33	454	4889
34	469	4891
35	483	4888
36	495	4860
37	507	4835
38	521	4826
39	534	4813
40	548	4805
41	562	4793
42	573	4762
43	586	4745
44	600	4733
45	613	4721
46	626	4708
47	638	4679
48	651	4665
49	664	4654
50	678	4645
51	692	4632
52	703	4604
53	716	4591
54	729	4578
55	743	4567
56	757	4555
57	768	4531
58	781	4516
59	796	4515
60	809	4501
61	823	4488
62	836	4474
63	847	4450
64	861	4437
65	874	4426
66	888	4414
67	901	4401
68	912	4376
69	925	4362
70	939	4353
71	954	4346
72	967	4334
73	980	4317
74	992	4299
75	1006	4288
76	1019	4275
77	1032	4262
78	1044	4245
79	1056	4225
80	1070	4215
81	1084	4205
82	1098	4194
83	1112	4183
84	1123	4161
85	1136	4148
86	1150	4137
87	1164	4127
88	1178	4119
89	1191	4105
90	1202	4083
91	1215	4070
92	1228	4056
93	1242	4044
94	1254	4026
95	1267	4012
96	1280	3999
97	1294	3988
98	1307	3974
99	1319	3957
100	1330	3938
101	1345	3930
102	1358	3917
103	1372	3905
104	1386	3894
105	1398	3878
106	1410	3861
107	1425	3854
108	1441	3849
109	1457	3841
110	1471	3830
111	1483	3815
112	1494	3796
113	1507	3781
114	1520	3767
115	1533	3753
116	1547	3742
117	1557	3722
118	1569	3707
119	1583	3693
120	1597	3682
121	1610	3669
122	1621	3651
123	1635	3639
124	1647	3623
125	1660	3610
126	1672	3595
127	1685	3582
128	1698	3567
129	1710	3553
130	1724	3541
131	1735	3522
132	1748	3511
133	1762	3498
134	1776	3487
135	1789	3474
136	1803	3461
137	1814	3444
138	1826	3429
139	1839	3415
140	1852	3403
141	1863	3385
142	1876	3372
143	1890	3361
144	1903	3348
145	1916	3334
146	1929	3320
147	1941	3306
148	1956	3295
149	1972	3287
150	1989	3281
151	2004	3270
152	2018	3258
153	2032	3246
154	2045	3233
155	2057	3218
156	2070	3205
157	2083	3190
158	2097	3179
159	2110	3166
160	2121	3148
161	2133	3134
162	2145	3119
163	2159	3106
164	2171	3092
165	2182	3077
166	2197	3066
167	2211	3054
168	2225	3041
169	2238	3029
170	2254	3019
171	2264	3001
172	2277	2988
173	2292	2977
174	2305	2964
175	2318	2951
176	2329	2935
177	2342	2922
178	2358	2911
179	2371	2898
180	2384	2885
181	2398	2872
182	2408	2855
183	2421	2842
184	2434	2829
185	2447	2816
186	2458	2800
187	2471	2786
188	2483	2772
189	2496	2759
190	2506	2743
191	2519	2729
192	2534	2718
193	2547	2705
194	2560	2691
195	2571	2676
196	2583	2662
197	2596	2649
198	2609	2635
